idx,x,y,z,u,v,reachable
339,-0.1350,-0.0200,0.0200,-0.5350,-0.0200,0
340,-0.1152,-0.0200,0.0200,-0.5152,-0.0200,0
341,-0.0954,-0.0200,0.0200,-0.4954,-0.0200,0
342,-0.0756,-0.0200,0.0200,-0.4756,-0.0200,0
343,-0.0557,-0.0200,0.0200,-0.4557,-0.0200,0
344,-0.0359,-0.0200,0.0200,-0.4359,-0.0200,0
345,-0.0161,-0.0200,0.0200,-0.4161,-0.0200,0
346,0.0037,-0.0200,0.0200,-0.3963,-0.0200,0
347,0.0235,-0.0200,0.0200,-0.3765,-0.0200,0
348,0.0433,-0.0200,0.0200,-0.3567,-0.0200,0
349,0.0631,-0.0200,0.0200,-0.3369,-0.0200,0
350,0.0830,-0.0200,0.0200,-0.3170,-0.0200,0
351,0.1028,-0.0200,0.0200,-0.2972,-0.0200,1
352,0.1226,-0.0200,0.0200,-0.2774,-0.0200,1
353,0.1424,-0.0200,0.0200,-0.2576,-0.0200,1
354,0.1622,-0.0200,0.0200,-0.2378,-0.0200,1
355,0.1820,-0.0200,0.0200,-0.2180,-0.0200,1
356,0.2019,-0.0200,0.0200,-0.1981,-0.0200,1
357,0.2217,-0.0200,0.0200,-0.1783,-0.0200,1
358,0.2415,-0.0200,0.0200,-0.1585,-0.0200,1
359,0.2613,-0.0200,0.0200,-0.1387,-0.0200,1
360,0.2811,-0.0200,0.0200,-0.1189,-0.0200,1
361,0.3009,-0.0200,0.0200,-0.0991,-0.0200,1
362,0.3207,-0.0200,0.0200,-0.0793,-0.0200,1
363,0.3406,-0.0200,0.0200,-0.0594,-0.0200,0
364,0.3604,-0.0200,0.0200,-0.0396,-0.0200,0
365,0.3802,-0.0200,0.0200,-0.0198,-0.0200,0
366,0.4000,-0.0200,0.0200,0.0000,-0.0200,0
367,0.4198,-0.0200,0.0200,0.0198,-0.0200,0
368,0.4396,-0.0200,0.0200,0.0396,-0.0200,0
369,0.4594,-0.0200,0.0200,0.0594,-0.0200,0
370,0.4793,-0.0200,0.0200,0.0793,-0.0200,0
371,0.4991,-0.0200,0.0200,0.0991,-0.0200,0
372,0.5189,-0.0200,0.0200,0.1189,-0.0200,0
373,0.5387,-0.0200,0.0200,0.1387,-0.0200,0
374,0.5585,-0.0200,0.0200,0.1585,-0.0200,0
375,0.5783,-0.0200,0.0200,0.1783,-0.0200,0
376,0.5981,-0.0200,0.0200,0.1981,-0.0200,0
377,0.6180,-0.0200,0.0200,0.2180,-0.0200,0
378,0.6378,-0.0200,0.0200,0.2378,-0.0200,0
379,0.6576,-0.0200,0.0200,0.2576,-0.0200,0
380,0.6774,-0.0200,0.0200,0.2774,-0.0200,0
381,0.6972,-0.0200,0.0200,0.2972,-0.0200,0
382,0.7170,-0.0200,0.0200,0.3170,-0.0200,0
383,0.7369,-0.0200,0.0200,0.3369,-0.0200,0
384,0.7567,-0.0200,0.0200,0.3567,-0.0200,0
385,0.7765,-0.0200,0.0200,0.3765,-0.0200,0
386,0.7963,-0.0200,0.0200,0.3963,-0.0200,0
387,0.8161,-0.0200,0.0200,0.4161,-0.0200,0
388,0.8359,-0.0200,0.0200,0.4359,-0.0200,0
389,0.8557,-0.0200,0.0200,0.4557,-0.0200,0
390,0.8756,-0.0200,0.0200,0.4756,-0.0200,0
391,0.8954,-0.0200,0.0200,0.4954,-0.0200,0
392,0.9152,-0.0200,0.0200,0.5152,-0.0200,0
393,0.9350,-0.0200,0.0200,0.5350,-0.0200,0
394,0.9350,-0.0067,0.0200,0.5350,-0.0067,0
395,0.9350,0.0067,0.0200,0.5350,0.0067,0
396,0.9350,0.0200,0.0200,0.5350,0.0200,0
397,0.9152,0.0200,0.0200,0.5152,0.0200,0
398,0.8954,0.0200,0.0200,0.4954,0.0200,0
399,0.8756,0.0200,0.0200,0.4756,0.0200,0
400,0.8557,0.0200,0.0200,0.4557,0.0200,0
401,0.8359,0.0200,0.0200,0.4359,0.0200,0
402,0.8161,0.0200,0.0200,0.4161,0.0200,0
403,0.7963,0.0200,0.0200,0.3963,0.0200,0
404,0.7765,0.0200,0.0200,0.3765,0.0200,0
405,0.7567,0.0200,0.0200,0.3567,0.0200,0
406,0.7369,0.0200,0.0200,0.3369,0.0200,0
407,0.7170,0.0200,0.0200,0.3170,0.0200,0
408,0.6972,0.0200,0.0200,0.2972,0.0200,0
409,0.6774,0.0200,0.0200,0.2774,0.0200,0
410,0.6576,0.0200,0.0200,0.2576,0.0200,0
411,0.6378,0.0200,0.0200,0.2378,0.0200,0
412,0.6180,0.0200,0.0200,0.2180,0.0200,0
413,0.5981,0.0200,0.0200,0.1981,0.0200,0
414,0.5783,0.0200,0.0200,0.1783,0.0200,0
415,0.5585,0.0200,0.0200,0.1585,0.0200,0
416,0.5387,0.0200,0.0200,0.1387,0.0200,0
417,0.5189,0.0200,0.0200,0.1189,0.0200,0
418,0.4991,0.0200,0.0200,0.0991,0.0200,0
419,0.4793,0.0200,0.0200,0.0793,0.0200,0
420,0.4594,0.0200,0.0200,0.0594,0.0200,0
421,0.4396,0.0200,0.0200,0.0396,0.0200,0
422,0.4198,0.0200,0.0200,0.0198,0.0200,0
423,0.4000,0.0200,0.0200,0.0000,0.0200,0
424,0.3802,0.0200,0.0200,-0.0198,0.0200,0
425,0.3604,0.0200,0.0200,-0.0396,0.0200,0
426,0.3406,0.0200,0.0200,-0.0594,0.0200,0
427,0.3207,0.0200,0.0200,-0.0793,0.0200,1
428,0.3009,0.0200,0.0200,-0.0991,0.0200,1
429,0.2811,0.0200,0.0200,-0.1189,0.0200,1
430,0.2613,0.0200,0.0200,-0.1387,0.0200,1
431,0.2415,0.0200,0.0200,-0.1585,0.0200,1
432,0.2217,0.0200,0.0200,-0.1783,0.0200,1
433,0.2019,0.0200,0.0200,-0.1981,0.0200,1
434,0.1820,0.0200,0.0200,-0.2180,0.0200,1
435,0.1622,0.0200,0.0200,-0.2378,0.0200,1
436,0.1424,0.0200,0.0200,-0.2576,0.0200,1
437,0.1226,0.0200,0.0200,-0.2774,0.0200,1
438,0.1028,0.0200,0.0200,-0.2972,0.0200,1
439,0.0830,0.0200,0.0200,-0.3170,0.0200,0
440,0.0631,0.0200,0.0200,-0.3369,0.0200,0
441,0.0433,0.0200,0.0200,-0.3567,0.0200,0
442,0.0235,0.0200,0.0200,-0.3765,0.0200,0
