t,F_meas_N,speed_mps,mode,delta_m
3.0300,5.8554,0.1500,CONTACT,0.00600
3.0400,5.8774,0.1500,CONTACT,0.00601
3.0500,5.9428,0.1500,CONTACT,0.00602
3.0600,6.1855,0.1500,CONTACT,0.00600
3.0700,5.9196,0.1500,CONTACT,0.00601
3.0800,6.1397,0.1500,CONTACT,0.00599
3.0900,5.8009,0.1500,CONTACT,0.00602
3.1000,6.5265,0.1500,CONTACT,0.00596
3.1100,5.6404,0.1500,CONTACT,0.00600
3.1200,5.9745,0.1500,CONTACT,0.00600
3.1300,5.9484,0.1500,CONTACT,0.00601
3.1400,6.1510,0.1500,CONTACT,0.00599
3.1500,6.1666,0.1500,CONTACT,0.00597
3.1600,6.1560,0.1500,CONTACT,0.00595
3.1700,5.7921,0.1500,CONTACT,0.00598
3.1800,5.8824,0.1500,CONTACT,0.00599
3.1900,5.7492,0.1500,CONTACT,0.00602
3.2000,5.6897,0.1500,CONTACT,0.00605
3.2100,6.0081,0.1500,CONTACT,0.00605
3.2200,5.8741,0.1500,CONTACT,0.00606
3.2300,6.0282,0.1500,CONTACT,0.00606
3.2400,5.9674,0.1500,CONTACT,0.00607
3.2500,6.1890,0.1500,CONTACT,0.00604
3.2600,6.1129,0.1500,CONTACT,0.00603
3.2700,6.1324,0.1500,CONTACT,0.00602
3.2800,6.2158,0.1500,CONTACT,0.00599
3.2900,6.0023,0.1500,CONTACT,0.00599
3.3000,6.1676,0.1500,CONTACT,0.00597
3.3100,6.0427,0.1500,CONTACT,0.00597
3.3200,6.2101,0.1500,CONTACT,0.00595
3.3300,6.0074,0.1500,CONTACT,0.00595
3.3400,6.2866,0.1500,CONTACT,0.00591
3.3500,5.9793,0.1500,CONTACT,0.00592
3.3600,6.1470,0.1500,CONTACT,0.00590
3.3700,5.7535,0.1500,CONTACT,0.00593
3.3800,6.0741,0.1500,CONTACT,0.00592
3.3900,5.8638,0.1500,CONTACT,0.00593
3.4000,6.2194,0.1500,CONTACT,0.00591
3.4100,5.5311,0.1500,CONTACT,0.00596
3.4200,6.0694,0.1500,CONTACT,0.00595
3.4300,6.1519,0.1500,CONTACT,0.00594
3.4400,6.3263,0.1500,CONTACT,0.00590
3.4500,6.0841,0.1500,CONTACT,0.00589
3.4600,6.2667,0.1500,CONTACT,0.00586
3.4700,5.6613,0.1500,CONTACT,0.00590
3.4800,5.6556,0.1500,CONTACT,0.00594
3.4900,5.7001,0.1500,CONTACT,0.00597
3.5000,6.0801,0.1500,CONTACT,0.00596
3.5100,6.2341,0.1500,CONTACT,0.00594
3.5200,6.0559,0.1500,CONTACT,0.00593
3.5300,5.9963,0.1500,CONTACT,0.00593
3.5400,5.8736,0.1500,CONTACT,0.00594
3.5500,5.5670,0.1500,CONTACT,0.00599
3.5600,6.0211,0.1500,CONTACT,0.00599
3.5700,6.0879,0.1500,CONTACT,0.00598
3.5800,6.0954,0.1500,CONTACT,0.00597
3.5900,6.3923,0.1500,CONTACT,0.00593
3.6000,5.7824,0.1500,CONTACT,0.00595
3.6100,5.6212,0.1500,CONTACT,0.00599
3.6200,5.9568,0.1500,CONTACT,0.00600
3.6300,6.2634,0.1500,CONTACT,0.00597
3.6400,6.2637,0.1500,CONTACT,0.00594
3.6500,5.9030,0.1500,CONTACT,0.00595
3.6600,6.3895,0.1500,CONTACT,0.00591
3.6700,5.8540,0.1500,CONTACT,0.00592
3.6800,5.8100,0.1500,CONTACT,0.00594
3.6900,5.9264,0.1500,CONTACT,0.00595
3.7000,6.1821,0.1500,CONTACT,0.00593
3.7100,5.9756,0.1500,CONTACT,0.00593
