t,F_meas_N,speed_mps,mode,depth_m
19.262,10.823,0.166,CONTACT,0.00981
19.304,10.864,0.166,CONTACT,0.00978
19.347,10.468,0.170,CONTACT,0.00976
19.388,9.971,0.169,CONTACT,0.00976
19.430,9.957,0.167,CONTACT,0.00977
19.470,10.164,0.166,CONTACT,0.00976
19.510,10.370,0.165,CONTACT,0.00975
19.551,10.328,0.164,CONTACT,0.00974
19.592,9.940,0.171,CONTACT,0.00974
19.633,9.590,0.170,CONTACT,0.00975
19.674,9.655,0.168,CONTACT,0.00976
19.716,9.966,0.166,CONTACT,0.00977
19.756,10.201,0.164,CONTACT,0.00976
19.800,10.215,0.163,CONTACT,0.00975
19.842,9.918,0.173,CONTACT,0.00975
19.883,9.722,0.170,CONTACT,0.00976
19.926,9.686,0.168,CONTACT,0.00977
19.967,9.848,0.166,CONTACT,0.00978
20.008,10.021,0.164,CONTACT,0.00978
20.052,10.025,0.162,CONTACT,0.00978
20.093,9.772,0.172,CONTACT,0.00979
20.134,9.515,0.170,CONTACT,0.00980
20.175,9.458,0.168,CONTACT,0.00982
20.216,9.552,0.166,CONTACT,0.00983
20.257,9.672,0.164,CONTACT,0.00985
20.298,9.713,0.162,CONTACT,0.00985
20.340,9.700,0.169,CONTACT,0.00986
20.381,9.568,0.168,CONTACT,0.00988
20.424,9.550,0.168,CONTACT,0.00989
20.465,9.594,0.167,CONTACT,0.00991
20.506,9.661,0.166,CONTACT,0.00992
20.547,9.766,0.165,CONTACT,0.00993
20.587,9.853,0.165,CONTACT,0.00993
20.628,9.924,0.166,CONTACT,0.00993
20.671,9.996,0.167,CONTACT,0.00993
20.713,10.044,0.168,CONTACT,0.00993
20.753,10.086,0.168,CONTACT,0.00993
20.795,10.093,0.169,CONTACT,0.00993
20.836,10.067,0.162,CONTACT,0.00992
20.878,10.103,0.164,CONTACT,0.00992
20.921,10.216,0.166,CONTACT,0.00991
20.962,10.442,0.168,CONTACT,0.00990
21.003,10.512,0.170,CONTACT,0.00988
21.045,10.417,0.172,CONTACT,0.00987
21.087,10.161,0.162,CONTACT,0.00986
21.130,10.030,0.164,CONTACT,0.00986
21.172,10.202,0.166,CONTACT,0.00986
21.213,10.487,0.168,CONTACT,0.00984
21.255,10.648,0.170,CONTACT,0.00982
